name,branche,beschreibung,adresse,id,ansprechperson,email,telefon,telefax
Göldlin Apotheke,Apotheke,Apotheke,"Rathausgasse 29
5001 Aarau",3313,Dr. Christian Göldlin,apogo@bluewin.ch,062 822 10 67,062 822 17 60
Architekten-Gruppe Bircher Roth von Arx AG,Architektur,,"Stritengässli 24
5000 Aarau",3315, ,info@architektengruppe.ch,062 823 05 04,062 823 05 79
Fritz Glaus & Co. AG,Automobile,Garage / Verkauf -> Nutzfahrzeuge / Personenwagen,"Postfach 2836
5001 Aarau",3316,Hans-Peter Glaus,h.p.glaus@glaus.ch,062 858 68 78,062 858 68 83
Furter Bäckerei - Konditorei,Bäckerei - Konditorei - Confiserie,"Brot, Bio Brot","Bahnhofstrasse 9
5000 Aarau",3317,Mario Monaco-Oesch,info@bio-brot.ch,062 822 38 19,062 825 12 08
Aargauische Kantonalbank,Bank,Regionaldirektion Aarau,"Bahnhofplatz 1
5001 Aarau",3318,Rene Nyffenegger,Rene.Nyffenegger@akb.ch,062 835 73 30,062 835 77 87
Aarebau AG,Bedachungen,Flachdach- und Spenglerarbeiten,"Staffeleggstrasse 16
5024 Küttigen",3319,Natalie Hammel,info@aarebau.ch,062 839 00 30,062 839 00 40
Aarebeton Aarau AG,Baugewerbe,Produktion und Vertrieb von Transportbeton,"Im Lostorf 3
5033 Buchs",3322,Adriano Barone,office@aarebeton.ch,062 823 76 70,062 832 30 01
Aare Touring Garage AG,Automobile,,"Steinachermattweg 1
5033 Buchs",3323,Mischa Faes,info@aare-touring.ch,062 834 44 88,062 834 44 89
AZ Zeitungen AG,Medien,Medien,"Neumattstrasse 1
5001 Aarau",3324,Alexandra Heiniger,alexandra.heiniger@azmedien.ch,058 200 53 53,058 200 53 54
Widmer Peter E.,Advokatur- und Notariatsbüro,,"Hintere Bahnhofstrasse 6
5001 Aarau",3326,"Peter E. Widmer lic. iur., Notar",peter.widmer@5001.ch,062 837 50 00,062 837 50 01
Aeschlimann AG,Baugewerbe,,"Herzogstrasse 27
5000 Aarau",3327,Kurt Andres,info@aeschlimann.ch,062 822 25 08,062 745 07 50
AFM Stadtgarage AG,Automobile,,"Weihermattstrasse 82
5001 Aarau",3328,Erich Morgenthaler,info@afmstadtgarage.ch,062 822 55 12,062 822 25 88
